1|228|3|||9000|
2|228|6|||7500|
3|228|1|||9000|
4|228|2|||8000|
5|228|8|||16500|
6|228|22|||3700|
7|228|23|||3700|
8|228|10|||2500|
9|228|18|||3000|
10|228|11|||2100|
11|228|13|||3100|
12|228|14|||2500|
13|228|15|||2250|
14|228|16|||3400|
15|228|4|||10000|
16|228|5|||6000|
17|228|24|||8000|
18|228|9|||5000|
19|228|12|||2200|
20|228|17|||560|
21|48|3|||33100|
22|48|6|||18400|
23|92|1|||15000|
24|92|2|||17000|
25|120|10|||9600|
26|50|18|||7000|
27|93|11|||10000|
28|120|13|||12300|
29|50|14|||7900|
30|124|15|||7000|
31|124|16|||7900|
